scenario,year,sector,value,prod,region
Evolving,2070,Oil crops,0.6765758913122162,76.361367001876,China
Evolving,2070,Other crops,0.6809903565070893,1428.997785959459,China
Evolving,2070,Staple crops,0.6679329125007357,875.5487455262859,China
Evolving,2070,Livestock,1.1073277617800787,238.589065601,North America
Evolving,2070,Oil crops,0.9899922671926974,193.82873646870829,North America
Evolving,2070,Other crops,0.9384343786577123,777.5288755510462,North America
Evolving,2070,Staple crops,1.0175063004186098,740.57235408373,North America
Evolving,2075,Livestock,1.6650890785749657,199.264227133,Africa
Evolving,2075,Oil crops,0.8907729876332757,202.4742587710754,Africa
Evolving,2075,Other crops,0.9022323513756952,1595.4120633519879,Africa
Evolving,2075,Staple crops,0.8253889694900157,1728.7936644067051,Africa
Evolving,2075,Livestock,0.9149796119987045,180.05015401663,China
Evolving,2075,Oil crops,0.6662989737001673,77.468670776637,China
Evolving,2075,Other crops,0.6659045981708863,1408.221266892016,China
Evolving,2075,Staple crops,0.6521132740322381,853.970170480716,China
Evolving,2075,Livestock,1.1122722121515745,243.578319694,North America
Evolving,2075,Oil crops,0.9844903384783878,191.1579509909338,North America
Evolving,2075,Other crops,0.9305945167875527,793.5156435754681,North America
Evolving,2075,Staple crops,1.0136624322223213,746.828644930775,North America
Evolving,2080,Livestock,1.702685252662877,207.087232986,Africa
Evolving,2080,Oil crops,0.9026897775784243,221.228179275896,Africa
Evolving,2080,Other crops,0.9056167213861459,1680.1985592232045,Africa
Evolving,2080,Staple crops,0.8191612627016389,1826.1923262880841,Africa
Evolving,2080,Livestock,0.9066285347089958,173.71375240208,China
Evolving,2080,Oil crops,0.6587314543836011,78.523428698261,China
Evolving,2080,Other crops,0.6530152353203157,1382.446782623311,China
Evolving,2080,Staple crops,0.6383509705788512,829.660022102765,China
Evolving,2080,Livestock,1.1170573509418344,247.785986211,North America
Evolving,2080,Oil crops,0.9802290091397736,189.5373928769803,North America
Evolving,2080,Other crops,0.9240083846301855,805.2072168033097,North America
Evolving,2080,Staple crops,1.0107657761198683,749.6009511431873,North America
Evolving,2085,Livestock,1.7305069786657896,213.916383534,Africa
Evolving,2085,Oil crops,0.9127319679522514,238.69111769805752,Africa
Evolving,2085,Other crops,0.907116776699744,1754.3643827203668,Africa
Evolving,2085,Staple crops,0.8119586346418902,1915.826136657647,Africa
Evolving,2085,Livestock,0.89650190833357,167.19523469686,China
Evolving,2085,Oil crops,0.6502215440058811,79.497750081861,China
Evolving,2085,Other crops,0.639275227571757,1353.992214316254,China
Evolving,2085,Staple crops,0.6238617974148951,804.4911103478843,China
Evolving,2085,Livestock,1.1187149740528042,251.174549574,North America
Evolving,2085,Oil crops,0.9740600452898736,189.94482312883082,North America
Evolving,2085,Other crops,0.9150455355924748,813.71739627715,North America
Evolving,2085,Staple crops,1.0051858793136197,750.8792803052095,North America
Evolving,2090,Livestock,1.7534150626877556,219.755628498,Africa
Evolving,2090,Oil crops,0.9217349289186784,253.77172544966785,Africa
Evolving,2090,Other crops,0.9085935922881131,1819.1768792988846,Africa
Evolving,2090,Staple crops,0.8059841820800049,1992.3418764608136,Africa
Evolving,2090,Livestock,0.8873989862907639,160.77936634842,China
Evolving,2090,Oil crops,0.6430002722853599,80.036426705423,China
Evolving,2090,Other crops,0.6274487532810616,1323.463055221058,China
Evolving,2090,Staple crops,0.6115026664926873,778.7296192851766,China
Evolving,2090,Livestock,1.1197207917020298,253.84097039099998,North America
Evolving,2090,Oil crops,0.9689174999372508,190.9362130402198,North America
Evolving,2090,Other crops,0.9070253224081202,818.526440827372,North America
Evolving,2090,Staple crops,0.9997538574521486,752.0003237118315,North America
Evolving,2095,Livestock,1.7694894026102088,224.636033283,Africa
Evolving,2095,Oil crops,0.9270669834211674,266.6822792035234,Africa
Evolving,2095,Other crops,0.9084986892631455,1874.7936243785434,Africa
Evolving,2095,Staple crops,0.7998216284410186,2061.005029129475,Africa
Evolving,2095,Livestock,0.8776960688017249,154.68673317322,China
Evolving,2095,Oil crops,0.6349821772146768,80.217890303425,China
Evolving,2095,Other crops,0.6157329017030867,1292.7212891245451,China
Evolving,2095,Staple crops,0.5994473976717805,754.3237186975507,China
Evolving,2095,Livestock,1.1184552028535908,255.74902527199998,North America
Evolving,2095,Oil crops,0.9619987986357232,191.8115013043628,North America
Evolving,2095,Other crops,0.897913452446173,820.611946793637,North America
Evolving,2095,Staple crops,0.9932189158733359,751.8838127410158,North America
Evolving,2100,Livestock,1.7805754791591486,228.696675333,Africa
Evolving,2100,Oil crops,0.9327833809570703,278.8393328075965,Africa
Evolving,2100,Other crops,0.9080926938106669,1921.6372919721114,Africa
Evolving,2100,Staple crops,0.7943140026176343,2121.744147173513,Africa
Evolving,2100,Livestock,0.8685236194524047,148.9772230273,China
Evolving,2100,Oil crops,0.6272262716528182,80.022058634711,China
Evolving,2100,Other crops,0.6052613923432708,1261.913535489592,China
Evolving,2100,Staple crops,0.5886461994146736,731.4093399920354,China
Evolving,2100,Livestock,1.1163474485733909,256.854553094,North America
Evolving,2100,Oil crops,0.9548842362939006,191.8332515495932,North America
Evolving,2100,Other crops,0.8893059414533367,819.674169911144,North America
Evolving,2100,Staple crops,0.9871841610319023,749.4301045149854,North America
Static,2015,Livestock,1,69.465459673,Africa
Static,2015,Oil crops,1,36.02035988147,Africa
Static,2015,Other crops,1,407.020215109955,Africa
Static,2015,Staple crops,1,482.263104439463,Africa
Static,2015,Livestock,1,154.64295990139001,China
Static,2015,Oil crops,1,33.167272950048,China
Static,2015,Other crops,1,953.324716996668,China
Static,2015,Staple crops,1,739.4150665398461,China
Static,2015,Livestock,1,159.538515994,North America
Static,2015,Oil crops,1,137.46922650000002,North America
Static,2015,Other crops,1,536.5494082,North America
Static,2015,Staple crops,1,535.1740772,North America
Static,2020,Livestock,1.034252747130363,77.278622439,Africa
Static,2020,Oil crops,1.0011037613263456,40.168532635348996,Africa
Static,2020,Other crops,1.0074045012705282,453.9386443453562,Africa
Static,2020,Staple crops,1.0039177780123638,537.9192681433857,Africa
Static,2020,Livestock,1.0212448317646377,170.97412044519,China
Static,2020,Oil crops,1.0026723276751044,36.363491714072,China
Static,2020,Other crops,1.011605042987785,1048.013606992573,China
Static,2020,Staple crops,1.0041415304815065,767.7985383557408,China
Static,2020,Livestock,1.012525740006774,169.02633379,North America
Static,2020,Oil crops,1.0014643110758865,151.43382927221,North America
Static,2020,Other crops,1.0039947292948417,572.053977079791,North America
Static,2020,Staple crops,1.002527125447539,574.6481138143321,North America
Static,2025,Livestock,1.0899830658978489,86.174701618,Africa
Static,2025,Oil crops,1.007552908968258,45.125690272542,Africa
Static,2025,Other crops,1.0144806576821745,515.9130379529216,Africa
Static,2025,Staple crops,1.012386555819614,598.180427222284,Africa
Static,2025,Livestock,1.0404838592186398,185.3326373923,China
Static,2025,Oil crops,1.0050489141042707,39.23467357432,China
Static,2025,Other crops,1.0214487455505166,1132.8113215828841,China
Static,2025,Staple crops,1.007815184622648,792.3523958166946,China
Static,2025,Livestock,1.0307969267234698,178.395633083,North America
Static,2025,Oil crops,1.0017708230049696,161.521482543675,North America
Static,2025,Other crops,1.006250176050415,617.3856980142972,North America
Static,2025,Staple crops,1.0096461557871055,600.626647955796,North America
Static,2030,Livestock,1.1559841255728918,97.447442925,Africa
Static,2030,Oil crops,1.0083040763529494,51.69170036007388,Africa
Static,2030,Other crops,1.0275818819717615,590.1215453857134,Africa
Static,2030,Staple crops,1.0172302919478289,664.6418953862635,Africa
Static,2030,Livestock,1.053745160860378,195.2302904097,China
Static,2030,Oil crops,1.0017386656827216,41.52318369041,China
Static,2030,Other crops,1.0243546927217837,1193.523270453265,China
Static,2030,Staple crops,1.0066843008609285,808.1349459324898,China
Static,2030,Livestock,1.047292324138714,187.723066373,North America
Static,2030,Oil crops,0.998518240037938,168.621159918684,North America
Static,2030,Other crops,1.0061567563845684,662.081343245643,North America
Static,2030,Staple crops,1.01133511982026,620.781318828806,North America
Static,2035,Livestock,1.2235635161435794,108.95386917799999,Africa
Static,2035,Oil crops,1.0069435880622373,59.05761992146124,Africa
Static,2035,Other crops,1.042661348303886,667.921308361476,Africa
Static,2035,Staple crops,1.0204452019104977,734.4321591326735,Africa
Static,2035,Livestock,1.0643374682594284,200.6437493937,China
Static,2035,Oil crops,0.9953637044140952,43.229990495113,China
Static,2035,Other crops,1.0259774760795892,1229.4545459305639,China
Static,2035,Staple crops,1.0077443924096237,810.7363124100915,China
Static,2035,Livestock,1.062030601463747,196.35410046,North America
Static,2035,Oil crops,0.9923166094634406,175.24308322512599,North America
Static,2035,Other crops,1.0065442238168552,704.416142272927,North America
Static,2035,Staple crops,1.0147893421389536,634.427269445951,North America
Static,2040,Livestock,1.2972463015609201,120.768837324,Africa
Static,2040,Oil crops,1.010368606733171,67.43377484092181,Africa
Static,2040,Other crops,1.0583818389128123,752.0624898674208,Africa
Static,2040,Staple crops,1.0242064804733175,806.881623281606,Africa
Static,2040,Livestock,1.072432356770936,203.13739227371,China
Static,2040,Oil crops,0.9865180459778639,44.772944613202995,China
Static,2040,Other crops,1.0232715888070083,1250.080415127561,China
Static,2040,Staple crops,1.0052823719162776,806.4302633556674,China
Static,2040,Livestock,1.0748042093170025,204.794907581,North America
Static,2040,Oil crops,0.9897360803190455,186.54752197386398,North America
Static,2040,Other crops,1.0075339815958706,743.8396339797796,North America
Static,2040,Staple crops,1.0189565188264638,652.3674383276369,North America
Static,2045,Livestock,1.3749939686297121,132.734039804,Africa
Static,2045,Oil crops,1.0179143831597444,77.09932749638838,Africa
Static,2045,Other crops,1.0734784436031066,842.7389334668165,Africa
Static,2045,Staple crops,1.0274955785323265,881.9742442239994,Africa
Static,2045,Livestock,1.0786588373066879,203.29072483819,China
